[11:00 am] Cook D is ready
[11: 1] Cook D: Preparing order (Waiter V, Customer 3, Count 3)
[11:16] Cook D: Prepared order (Waiter V, Customer 3, Count 3)
[11:16] Cook D: Preparing order (Waiter W, Customer 2, Count 2)
[11:26] Cook D: Prepared order (Waiter W, Customer 2, Count 2)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Prepared order (Waiter U, Customer 0, Count 0)
[11:56] Cook D: Preparing order (Waiter U, Customer 0, Count 0)
